鄉鎮市區,交易標的,土地位置建物門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,主建物面積,附屬建物面積,陽台面積,lat,lng
The villages and towns urban district,transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,main building area,auxiliary building area,balcony area,,
東區,房地(土地+建物),臺南市東區東門路一段３５８號八樓之２,1150504,土地5建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),商業用,800323,127.96,0,0,0,無,有,6880000,53767,,0,0,,100.1,0,0,22.986723004368,120.218280041692
南區,房地(土地+建物),臺南市南區新興路４６１巷２０之４號,1150513,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,720602,88.92,3,2,2,有,無,2100000,23617,,0,0,陽台外推；頂樓加蓋；包含公共設施保留地用地；,59.64,0,11.76,22.973574690043,120.188765013678
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段９２號十三樓之５,1150509,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,1130816,114.97,2,2,2,有,有,13360000,130636,坡道平面,26.25,1770000,,54.03,0,3.66,22.963276838099,120.217465598148
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段９２號七樓之６,1150508,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,1130816,146.02,3,2,2,有,有,17680000,133673,坡道平面,26.25,1670000,,69.75,0,8.08,22.963276838099,120.217465598148
南區,房地(土地+建物)+車位,臺南市南區水交社路２０巷１８號五樓之２,1150503,土地3建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,1051201,112.51,2,2,1,有,有,9300000,82659,坡道平面,25.33,0,,48.82,2.1,4.37,22.975514010981,120.201386986394
南區,房地(土地+建物)+車位,臺南市南區南功街８５巷１８號七樓之２,1150503,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,860908,102.36,2,2,2,有,有,6000000,58617,坡道平面,0,0,陽台外推；其他增建；,55.64,0,6.7,22.984914985944,120.185202034277
南區,房地(土地+建物),臺南市南區西門路一段３５２巷８號,1150511,土地1建物1車位0,全,四層,透天厝,住商用,670911,221.01,3,2,4,有,無,11050000,49998,,0,0,其他增建；,221.01,0,0,22.980182018587,120.197989968675
南區,房地(土地+建物),臺南市南區三官路７巷１９號,1150519,土地5建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,700219,81.64,1,1,1,有,無,3200000,39196,,0,0,其他增建；,68.64,0,0,22.981052479232,120.194532182158
東區,房地(土地+建物)+車位,臺南市東區生產路２６５號二樓,1150518,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,890621,149.93,3,2,2,有,有,5000000,33349,坡道平面,35.85,0,,84.26,0,8.98,22.965010019469,120.228150989967
東區,房地(土地+建物),臺南市東區崇善東路６０號,1150516,土地4建物1車位0,全,五層,透天厝,住商用,830418,113,7,0,8,有,無,5000000,44248,,0,0,親友、員工、共有人或其他特殊關係間之交易；,108.24,0,4.76,22.968215007786,120.233169989769
東區,房地(土地+建物),臺南市東區富農街二段４３巷１６號五樓之２,1150518,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,781114,41.81,1,1,1,有,有,2000000,47835,,0,0,親友、員工、共有人或其他特殊關係間之交易；,29.11,0.84,2.48,22.986416017165,120.235089026501
南區,房地(土地+建物),臺南市南區中華西路一段８巷３號十樓之３,1150402,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,850327,189.06,4,2,2,有,有,9050000,47868,,0,0,,116.3,0,14.11,22.964449018689,120.184494014915
南區,房地(土地+建物),臺南市南區永華路一段２６３號,1150418,土地2建物1車位0,全,二層,透天厝,住家用,590730,103.2,3,1,2,有,無,20000000,193798,,0,0,頂樓加蓋；其他增建；,103.2,0,0,22.988352991169,120.190467964946
東區,房地(土地+建物),臺南市東區仁東街６３號七樓之１６,1150416,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,870919,76.6,2,1,1,有,有,5200000,67885,,0,0,,52.59,0,8.64,22.970326995929,120.235791010892
東區,房地(土地+建物),臺南市東區長榮路一段２２７號七樓之１６,1150430,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,880805,33.79,1,0,1,有,有,2990000,88488,,0,0,,19.2,0,4.67,22.985718014178,120.2183139884
南區,房地(土地+建物),臺南市南區金華路二段２８９巷２２號,1150423,土地1建物1車位0,全,四層,透天厝,住商用,690610,197.74,5,3,4,有,無,5440000,27511,,0,0,親友、員工、共有人或其他特殊關係間之交易；,197.74,0,0,22.984467685681,120.19056720668
東區,房地(土地+建物)+車位,臺南市東區富農街一段１３１巷４２弄１１號四樓,1150421,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,840112,125.59,3,2,2,有,有,8380000,66725,坡道平面,0,0,陽台外推；,68.55,0,8.91,22.982063001479,120.232878970091
東區,房地(土地+建物),臺南市東區文化三街６之１號,1150409,土地2建物1車位0,全,四層,透天厝,住家用,990104,230.12,5,5,4,有,有,25180000,109421,,0,0,陽台外推；,209.33,0,20.79,22.975839983195,120.231131008002
南區,房地(土地+建物)+車位,臺南市南區明興路１１９巷１號十一樓之２,1150415,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,840812,160.69,3,2,2,有,有,7300000,45429,坡道平面,0,0,,88.51,1.3,12.53,22.958135098665,120.187458861707
南區,房地(土地+建物),臺南市南區三官路８９巷９號,1150415,土地1建物1車位0,全,三層,透天厝,住家用,671130,145.57,4,2,3,有,無,6800000,46713,,0,0,其他增建；,130.21,0,15.36,22.979138094456,120.194410141648
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段９６號十一樓之７,1150411,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,1130816,139.95,3,2,2,有,有,16350000,129991,坡道平面,26.25,1570000,,69.34,0,4.47,22.963276838099,120.217465598148
東區,房地(土地+建物)+車位,臺南市東區利東街２９號三樓,1150424,土地1建物1車位1,三層，四層,九層,華廈(10層含以下有電梯),住家用,840810,159.85,4,2,4,有,有,9200000,57554,坡道機械,0,400000,夾層；,102.06,0,7.36,22.969625011538,120.236124023905
東區,房地(土地+建物)+車位,臺南市東區東門路三段１３號五樓之１,1150414,土地5建物1車位1,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,841115,131.49,2,2,2,有,有,7000000,53236,坡道機械,0,0,,66.49,0,13.27,22.98090898105,120.230541005838
東區,房地(土地+建物)+車位,臺南市東區東門路三段２６６巷３９號十一樓,1150405,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,1070319,157.78,3,2,2,有,有,15800000,100139,坡道平面,25.77,0,,81.62,0,8.73,22.975931010663,120.236195018625
南區,房地(土地+建物)+車位,臺南市南區明興路１１９巷１號六樓之１,1150423,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,840812,157.45,3,2,2,有,有,7700000,48904,坡道平面,0,0,,89.58,1.04,8.48,22.958135098665,120.187458861707
東區,房地(土地+建物),臺南市東區裕孝路７００之１號,1150409,土地2建物1車位0,全,四層,透天厝,住家用,1060329,210.35,5,2,4,有,無,28880000,137295,,0,0,其他增建/陽台增建/五樓陽台增建其他增建；,184.72,0,25.63,22.979052305677,120.243351319918
東區,房地(土地+建物)+車位,臺南市東區崇元一街１０號五樓之２,1150421,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,1120329,84.35,2,2,1,有,有,9400000,111440,坡道平面,15.13,0,,39.45,0,4.48,22.962927496518,120.226859909542
東區,房地(土地+建物),臺南市東區東成街２２２巷７２號,1150330,土地2建物1車位0,全,四層,透天厝,住家用,861215,197.9,5,2,3,有,無,17000000,85902,,0,0,其他增建；,180.3,0,17.6,22.978648004578,120.238462993986
東區,房地(土地+建物)+車位,臺南市東區裕義路７３８號三樓之２,1150325,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,1130715,100.59,2,2,2,有,有,11790000,116094,其他,8.94,1150000,,60.57,0,6.51,22.976629956922,120.248051448613
東區,房地(土地+建物)+車位,臺南市東區自由路二段１７５巷１１號六樓,1150322,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,861115,187.85,4,2,2,有,有,13880000,73889,坡道平面,0,0,,107.75,4.8,12.11,22.974171020544,120.236971015221
南區,房地(土地+建物),臺南市南區中華西路一段５８巷１２號四樓,1150331,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,720422,94.07,3,2,2,有,無,3600000,38269,,0,0,,77.36,0,10.48,22.971207011943,120.184426037681
東區,房地(土地+建物)+車位,臺南市東區崇德路１４４號四樓,1150331,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,841211,163.81,3,2,2,有,有,10300000,62878,坡道機械,0,0,,101.08,0,17.1,22.979182015629,120.219959020717
東區,房地(土地+建物)+車位,臺南市東區生產路２７５號六樓,1150330,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,890621,159.14,3,2,2,有,有,11500000,72263,坡道平面,32.87,0,,92.58,0,8.98,22.96502200559,120.228720959382
南區,房地(土地+建物),臺南市南區國民路２０３號,1150305,土地1建物1車位0,全,三層,透天厝,住商用,790608,214.74,9,0,9,有,無,15500000,72180,,0,0,其他增建；,192.93,4.1,17.71,22.967542695332,120.211118962714
東區,房地(土地+建物),臺南市東區裕孝路６９２號,1150312,土地2建物1車位0,全,四層,透天厝,住家用,1010202,203.42,5,2,4,有,無,23250000,114296,,0,0,頂樓加蓋；,179.62,0,23.51,22.979358999515,120.243174964675
南區,房地(土地+建物)+車位,臺南市南區萬年七街３９６號六樓之１,1150317,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,1100114,160.42,3,2,2,有,有,9200000,57349,坡道平面,32.26,0,,75.14,0,8.58,22.933321983057,120.19008499579
東區,房地(土地+建物),臺南市東區東興路１８１之５號,1150311,土地3建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,740427,94.61,2,2,2,有,有,5200000,54962,,0,0,其他增建；包含公共設施保留地用地；,62.58,0,10.97,22.994015008674,120.229338035094
東區,房地(土地+建物),臺南市東區林森路二段１９２巷１３號之６,1150330,土地23建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,730118,98.84,3,2,2,有,有,5600000,56651,,0,0,,78.81,0,7.99,22.989717984102,120.224836282537
東區,房地(土地+建物),臺南市東區東平路２５２巷９號,1150305,土地3建物1車位0,全,二層,透天厝,住家用,700217,125.94,5,3,3,有,無,22880000,181674,,0,0,頂樓加蓋；其他增建；,125.94,0,0,22.996239020953,120.226566977904
南區,房地(土地+建物),臺南市南區新興路３６８號五樓之４,1150331,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,711223,80.24,3,1,1,有,有,4600000,57328,,0,0,,59.43,0,7.15,22.975430401496,120.189418802126
南區,房地(土地+建物),臺南市南區喜樹路２０６巷２９弄２號,1150210,土地1建物1車位0,全,二層,透天厝,住家用,700610,90.42,4,2,3,有,無,7200000,79628,,0,0,頂樓加蓋；其他增建；,90.42,0,0,22.942578590365,120.178286862406
東區,房地(土地+建物)+車位,臺南市東區中華東路二段２２６巷２７弄１５號十五樓,1150213,土地1建物1車位2,十五層,十八層,住宅大樓(11層含以上有電梯),住家用,1020711,306.29,4,2,2,有,有,37130000,121225,坡道平面,46.99,0,,166.99,0,17,22.98297101305,120.229264022889
南區,房地(土地+建物),臺南市南區喜樹路７４巷２４號,1150215,土地2建物1車位0,全,二層,透天厝,住家用,691106,83.2,4,2,2,有,無,5000000,60096,,0,0,頂樓加蓋；其他增建；,83.2,0,0,22.945560517478,120.17887699567
東區,房地(土地+建物),臺南市東區中華東路二段４８巷１７弄２８號,1150228,土地2建物1車位0,全,四層,透天厝,住商用,810504,162.3,7,2,4,有,無,15000000,92421,,0,0,其他增建；,149.84,0,12.46,22.985956018318,120.232449984286
東區,房地(土地+建物),臺南市東區裕農路３１６號,1150227,土地2建物1車位0,一層，二層，三層,十四層,住宅大樓(11層含以上有電梯),住商用,811002,170.43,2,2,2,有,有,8260000,48466,,0,0,陽台外推；,134.02,0,13.13,22.986587594723,120.229031005981
東區,房地(土地+建物),臺南市東區裕永路７之５號,1150207,土地2建物1車位0,全,四層,透天厝,住家用,1120328,256.97,3,2,6,有,無,37200000,144764,,0,0,,234.72,0,22.25,22.989727663991,120.241104842245
東區,房地(土地+建物),臺南市東區大同路一段１７３號十一樓,1150129,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),商業用,800718,450.02,9,0,9,有,有,15500000,34443,,0,0,陽台外推；含租約；,305.07,6.86,17.89,22.984685992349,120.211364971572
東區,房地(土地+建物),臺南市東區東門路一段２４３號,1140826,土地3建物1車位0,全,五層,透天厝,住商用,710901,1342.49,20,1,5,有,無,96000000,71509,,0,0,,1326.89,0,15.6,22.987453990144,120.217580990967
